,Air In1,Air In2,Water In1,Water In2
252,3.7159506438608984e-08,0.00024694349803057453,1.0965601494659535e-19,1.1451394973938629e-14
253,3.198809164446111e-08,0.0002448900476185524,3.017874793837366e-19,2.048415830131761e-14
254,2.904198401278374e-08,0.00011051271480107541,8.487084148415894e-19,3.8623794199686894e-14
255,2.7976721524515336e-08,0.0002497583754385679,2.4405867725943586e-18,7.732218785233179e-14
256,2.8866431768726095e-08,0.0007318783304722511,7.18163329583822e-18,1.653524570312725e-13
257,3.16108036598804e-08,0.00040518755245025074,2.164146749590992e-17,3.7904899546752933e-13
258,3.68467175783762e-08,0.0002552681130557589,6.68437439880523e-17,9.31429407839128e-13
259,4.750970018695603e-08,0.00014566560116090538,2.1181478420541634e-16,2.445170183976663e-12
260,6.363394746308098e-08,0.0001152335870856862,6.893325837422062e-16,6.8194192125482624e-12
261,8.761027866273417e-08,0.00016819111291748503,2.30923114661524e-15,2.0079189921046794e-11
262,1.256200735892571e-07,0.00039698439260759386,7.969023143632265e-15,6.206029223880556e-11
263,1.9225726000887184e-07,0.00019338384312819542,2.8301502705692623e-14,2.004377998154568e-10
264,3.082442480027974e-07,0.0002355245716056559,1.0409955674354574e-13,6.74339356250916e-10
265,5.19937434947702e-07,0.00023082076169711512,3.9596246013359997e-13,2.35896248070958e-09
266,9.27988672692272e-07,0.0005551838099692442,1.5626691355339883e-12,8.57412799767109e-09
267,1.7416784513740468e-06,2.0985796780833786e-05,6.417943865361279e-12,3.2390265743038956e-08
268,3.4625027574471623e-06,0.00022760465171169675,2.7595661930875247e-11,1.2731321204882078e-07
269,7.320984256488523e-06,0.00023848967113880868,1.2511916213980748e-10,5.216632396692893e-07
270,1.7405395838171628e-05,0.00026439917863119953,6.082711407591136e-10,2.234359512185993e-06
271,4.365031919348768e-05,0.00030550918466368433,3.3406190947880013e-09,1.004096619855229e-05
272,0.00011422686610332937,0.0007672422018949752,2.264389830989634e-08,4.754717136307021e-05
273,0.0003212027693097243,0.0012819382556282033,2.1373881920251627e-07,0.00023872534523022845
274,0.001012616189782193,0.0011811503755449631,2.917649801153157e-06,0.001281682665620003
275,0.003512860228871597,0.0040731797081836755,5.2645338401899135e-05,0.00744547697954616
276,0.014008460092070109,0.007083709585709574,0.0011523664429242096,0.047603693701837244
277,0.06955848073035306,0.00927324714318582,0.030174408733362128,0.34378538115643553
278,0.41779032910986064,0.028062652803889695,0.9684655898913881,0.5995611946750564
279,0.12364178732620792,0.06965238311030326,0.0019666444879513174,0.0005662167606040562
280,0.2643110434898289,0.13210783612051175,0.004697218189818586,0.0001638690083345932
281,0.3233718007502572,0.06239782741731838,0.5793913085753916,0.00010754373686128264
282,0.28199735713964363,0.03443528895744425,0.3454757730128474,8.501193304212252e-05
